id	doi	title	author	journaltitle	volume	issue	pubdate	pagerange	publisher	type	reviewed-work	abstract
10.2307/801981	10.2307/801981	A Miniature Elizabethan Theater	Dora M. Davis	The English Journal	14	3	1925-03-01T00:00:00Z	pp. 233-235	National Council of Teachers of English	fla			
10.2307/802238	10.2307/802238	Checking the outside Reading	Edgar B. Wesley	The English Journal	12	10	1923-12-01T00:00:00Z	pp. 693-695	National Council of Teachers of English	fla			
10.2307/801882	10.2307/801882	A Discussion Contest	Julia E. Gettemy	The English Journal	11	5	1922-05-01T00:00:00Z	pp. 293-296	National Council of Teachers of English	fla			
10.2307/802427	10.2307/802427	Better Speech and Latin I	Mary E. Johnson	The English Journal	12	6	1923-06-01T00:00:00Z	pp. 416-417	National Council of Teachers of English	fla			
10.2307/802858	10.2307/802858	Editorial: Inter-School Correspondence		The English Journal	11	3	1922-03-01T00:00:00Z	p. 188	National Council of Teachers of English	fla			
10.2307/801886	10.2307/801886	Editorial: A Desirable Vacation Trip. Challenging Youth		The English Journal	11	5	1922-05-01T00:00:00Z	pp. 303-304	National Council of Teachers of English	fla			
10.2307/801988	10.2307/801988	Shall We Recommend the Study of Latin?	W. Wilbur Hatfield	The English Journal	14	3	1925-03-01T00:00:00Z	pp. 255-256	National Council of Teachers of English	brv	The Classical Investigation. Part I, General Report|Advisory Committee of the American Classical League		
10.2307/802560	10.2307/802560	Ivanhoe and the Tournament	Mary Sylvester Cline	The English Journal	13	4	1924-04-01T00:00:00Z	pp. 284-285	National Council of Teachers of English	fla			
10.2307/802528	10.2307/802528	Recent Texts in Business English	Benjamin A. Heydrick	The English Journal	10	6	1921-06-01T00:00:00Z	pp. 363-366	National Council of Teachers of English	brv	English in Business|Dudley Howe Miles, English of Commerce|John B. Opdycke, Project Book in Business English|Luella B. Cook, Business English Projects|Walter Wilbur Hatfield		
10.2307/802609	10.2307/802609	The Briggs Form Test in Use	C. C. Certain	The English Journal	12	4	1923-04-01T00:00:00Z	pp. 244-257	National Council of Teachers of English	fla			
10.2307/802895	10.2307/802895	Volume Information		The English Journal	14	10	1925-12-01T00:00:00Z	pp. 827-831	National Council of Teachers of English	mis			
10.2307/802666	10.2307/802666	Editorial: Saving the Project. Professional Citizenship	W. Wilbur Hatfield	The English Journal	9	8	1920-10-01T00:00:00Z	pp. 476-477	National Council of Teachers of English	fla			
10.2307/802098	10.2307/802098	Back Matter		The English Journal	11	4	1922-04-01T00:00:00Z		National Council of Teachers of English	mis			
10.2307/802026	10.2307/802026	An Advance in Testing Appreciation	W. Wilbur Hatfield	The English Journal	14	9	1925-11-01T00:00:00Z	pp. 737-738	National Council of Teachers of English	brv	Seven Tests for Appreciation of Literature|Hannah Logasa;Martha Jane McCoy		
10.2307/801994	10.2307/801994	The Status of American Criticism	Henry Seidel Canby	The English Journal	13	10	1924-12-01T00:00:00Z	pp. 705-709	National Council of Teachers of English	fla			
10.2307/802451	10.2307/802451	Back Matter		The English Journal	9	2	1920-02-01T00:00:00Z		National Council of Teachers of English	mis			
10.2307/802727	10.2307/802727	The Twin Arts	Max J. Herzberg	The English Journal	13	9	1924-11-01T00:00:00Z	pp. 619-629	National Council of Teachers of English	fla			
10.2307/802719	10.2307/802719	Dear Bill and Bob and Jack and Jim and Ed and Everybody	Roger C. Hatch	The English Journal	10	10	1921-12-01T00:00:00Z	pp. 586-588	National Council of Teachers of English	fla			
10.2307/802288	10.2307/802288	Back Matter		The English Journal	9	10	1920-12-01T00:00:00Z	p. 612	National Council of Teachers of English	mis			
10.2307/802050	10.2307/802050	Front Matter		The English Journal	11	2	1922-02-01T00:00:00Z		National Council of Teachers of English	mis			
10.2307/802308	10.2307/802308	The Correlation of Music with Literature	Jessie L. Thompson	The English Journal	10	7	1921-09-01T00:00:00Z	pp. 376-388	National Council of Teachers of English	fla			
10.2307/802290	10.2307/802290	Sherwood Anderson	Robert Morss Lovett	The English Journal	13	8	1924-10-01T00:00:00Z	pp. 531-539	National Council of Teachers of English	fla			
10.2307/801972	10.2307/801972	Front Matter		The English Journal	14	3	1925-03-01T00:00:00Z		National Council of Teachers of English	mis			
10.2307/802279	10.2307/802279	How Shall the Crooked Be Made Straight?	Emerson Grant Sutcliffe	The English Journal	9	10	1920-12-01T00:00:00Z	pp. 584-587	National Council of Teachers of English	fla			
10.2307/802983	10.2307/802983	Book Notices		The English Journal	9	9	1920-11-01T00:00:00Z	pp. 549-550	National Council of Teachers of English	mis			
10.2307/802062	10.2307/802062	Spring Has Come	Eleanor Hatch	The English Journal	11	2	1922-02-01T00:00:00Z	p. 114	National Council of Teachers of English	fla			
10.2307/802089	10.2307/802089	The Grammar of a County Teaching Force	R. L. Lyman	The English Journal	11	4	1922-04-01T00:00:00Z	pp. 240-242	National Council of Teachers of English	fla			
10.2307/802418	10.2307/802418	Front Matter		The English Journal	12	6	1923-06-01T00:00:00Z	p. 437	National Council of Teachers of English	mis			
10.2307/801890	10.2307/801890	Writings of Foreign-Born Americans	Clark S. Northup	The English Journal	11	5	1922-05-01T00:00:00Z	pp. 320-321	National Council of Teachers of English	brv	The American Spirit in the Writings of Americans of Foreign Birth|Robert E. Stauffer		
10.2307/802262	10.2307/802262	The Little Red Schoolhouse	W. H. McCreary	The English Journal	13	5	1924-05-01T00:00:00Z	pp. 347-348	National Council of Teachers of English	fla			
10.2307/802816	10.2307/802816	Spelling in the High School	Edith L. Hilderbrant	The English Journal	13	3	1924-03-01T00:00:00Z	pp. 184-191	National Council of Teachers of English	fla			
10.2307/802743	10.2307/802743	Book Notices		The English Journal	13	9	1924-11-01T00:00:00Z	pp. 684-690	National Council of Teachers of English	mis			
10.2307/802742	10.2307/802742	A Free Lance	E. D. C.	The English Journal	13	9	1924-11-01T00:00:00Z	pp. 683-684	National Council of Teachers of English	brv	Taking the Literary Pulse|Joseph Collins		
10.2307/802592	10.2307/802592	A Socialized Composition Lesson	Claudia E. Crumpton	The English Journal	14	6	1925-06-01T00:00:00Z	pp. 475-481	National Council of Teachers of English	fla			
10.2307/802468	10.2307/802468	Front Matter		The English Journal	14	1	1925-01-01T00:00:00Z	p. 87	National Council of Teachers of English	mis			
10.2307/802003	10.2307/802003	The Lesson of Shakespeare Complete	Dora M. Davis	The English Journal	13	10	1924-12-01T00:00:00Z	pp. 743-744	National Council of Teachers of English	fla			
10.2307/802654	10.2307/802654	Book Notices		The English Journal	9	3	1920-03-01T00:00:00Z	p. 184	National Council of Teachers of English	mis			
10.2307/803000	10.2307/803000	Book Notices		The English Journal	10	5	1921-05-01T00:00:00Z	pp. 302-303	National Council of Teachers of English	mis			
10.2307/802339	10.2307/802339	Front Matter		The English Journal	14	8	1925-10-01T00:00:00Z		National Council of Teachers of English	mis			
10.2307/802971	10.2307/802971	Back Matter		The English Journal	10	2	1921-02-01T00:00:00Z		National Council of Teachers of English	mis			
10.2307/802330	10.2307/802330	Play-Making in an English School	Arthur A. Lucas	The English Journal	14	5	1925-05-01T00:00:00Z	pp. 407-409	National Council of Teachers of English	fla			
10.2307/802331	10.2307/802331	Lisping in Numbers	Clarence Stratton	The English Journal	14	5	1925-05-01T00:00:00Z	pp. 409-413	National Council of Teachers of English	fla			
10.2307/802980	10.2307/802980	Better English	J. Knowles Robbins, Claudia E. Crumpton	The English Journal	9	9	1920-11-01T00:00:00Z	pp. 537-539	National Council of Teachers of English	fla			
10.2307/802392	10.2307/802392	Action Needed	Grace C. Tyler	The English Journal	11	9	1922-11-01T00:00:00Z	pp. 582-583	National Council of Teachers of English	fla			
10.2307/801940	10.2307/801940	Illustrative Material for High-School Literature	Jane Anderson Hilson, Katherine E. Wheeling	The English Journal	11	8	1922-10-01T00:00:00Z	pp. 482-490	National Council of Teachers of English	mis			
10.2307/802428	10.2307/802428	A Day's Work in English Grammar	Iona J. Wessel	The English Journal	12	6	1923-06-01T00:00:00Z	pp. 417-419	National Council of Teachers of English	fla			
10.2307/802587	10.2307/802587	The Younger Novelists	J. B. Priestley	The English Journal	14	6	1925-06-01T00:00:00Z	pp. 435-443	National Council of Teachers of English	fla			
10.2307/802213	10.2307/802213	To Whom It May Concern: A Hint or Two on the Study of Poetry	Edith Rickert	The English Journal	14	7	1925-09-01T00:00:00Z	pp. 505-514	National Council of Teachers of English	fla			
10.2307/801893	10.2307/801893	Front Matter		The English Journal	13	1	1924-01-01T00:00:00Z		National Council of Teachers of English	mis			
10.2307/802319	10.2307/802319	Book Notices		The English Journal	10	7	1921-09-01T00:00:00Z	pp. 425-426	National Council of Teachers of English	mis			
10.2307/802134	10.2307/802134	A Report on Better Speech Week	H. G. Paul	The English Journal	9	4	1920-04-01T00:00:00Z	pp. 194-200	National Council of Teachers of English	fla			
10.2307/802625	10.2307/802625	Americanization and High-School Literature	Jessie E. Luck	The English Journal	13	2	1924-02-01T00:00:00Z	pp. 114-120	National Council of Teachers of English	fla			
10.2307/802762	10.2307/802762	Editorial: Poise	Charles Robert Gaston	The English Journal	11	7	1922-09-01T00:00:00Z	pp. 432-433	National Council of Teachers of English	fla			
10.2307/802613	10.2307/802613	There Are Others	S. A. Lynch	The English Journal	12	4	1923-04-01T00:00:00Z	pp. 276-277	National Council of Teachers of English	fla			
10.2307/803001	10.2307/803001	Back Matter		The English Journal	10	5	1921-05-01T00:00:00Z	p. 304	National Council of Teachers of English	mis			
10.2307/802617	10.2307/802617	News and Notes		The English Journal	12	4	1923-04-01T00:00:00Z	pp. 283-286	National Council of Teachers of English	mis			
10.2307/802862	10.2307/802862	Back Matter		The English Journal	11	3	1922-03-01T00:00:00Z		National Council of Teachers of English	mis			
10.2307/802430	10.2307/802430	One Way to Motivate Letter Writing	C. J. Butler	The English Journal	12	6	1923-06-01T00:00:00Z	p. 421	National Council of Teachers of English	fla			
10.2307/802137	10.2307/802137	The Teaching of Shakespeare	Julia E. Booth	The English Journal	9	4	1920-04-01T00:00:00Z	pp. 219-223	National Council of Teachers of English	fla			
10.2307/802710	10.2307/802710	Book Notices		The English Journal	14	4	1925-04-01T00:00:00Z	pp. 339-344+346	National Council of Teachers of English	mis			
10.2307/802834	10.2307/802834	Personnel for College Composition	Howard J. Savage	The English Journal	10	8	1921-10-01T00:00:00Z	pp. 439-449	National Council of Teachers of English	fla			
10.2307/802375	10.2307/802375	Reading-Hours	Margaret M. Skinner	The English Journal	14	2	1925-02-01T00:00:00Z	pp. 147-151	National Council of Teachers of English	fla			
10.2307/802602	10.2307/802602	Uncandied Biography	E. D. C.	The English Journal	14	6	1925-06-01T00:00:00Z	pp. 496-497	National Council of Teachers of English	brv	John Keats|Amy Lowell		
10.2307/802813	10.2307/802813	The Teaching of Grammar	Otto Jespersen	The English Journal	13	3	1924-03-01T00:00:00Z	pp. 161-176	National Council of Teachers of English	fla			
10.2307/802216	10.2307/802216	A Statistical Study of Children's Errors in Sentence-Structure	S. L. Pressey	The English Journal	14	7	1925-09-01T00:00:00Z	pp. 529-535	National Council of Teachers of English	fla			
10.2307/802594	10.2307/802594	Let's Hear the Youngsters	Helen M. Francis	The English Journal	14	6	1925-06-01T00:00:00Z	pp. 482-483	National Council of Teachers of English	fla			
10.2307/802352	10.2307/802352	A Project in English Composition	Evangeline P. Williams	The English Journal	14	8	1925-10-01T00:00:00Z	pp. 649-650	National Council of Teachers of English	fla			
10.2307/802919	10.2307/802919	Illustrative Material for High-School Literature. III	Jane Anderson Hilson, Katherine E. Wheeling	The English Journal	11	10	1922-12-01T00:00:00Z	pp. 632-641	National Council of Teachers of English	mis			
10.2307/802140	10.2307/802140	How Do You Do It?	John H. Moffat	The English Journal	9	4	1920-04-01T00:00:00Z	pp. 229-230	National Council of Teachers of English	fla			
10.2307/801955	10.2307/801955	The Sequence of Courses for College and University Students Who Choose English as a Major Subject	A. H. R. Fairchild	The English Journal	12	3	1923-03-01T00:00:00Z	pp. 153-163	National Council of Teachers of English	fla			
10.2307/802735	10.2307/802735	Sentence Sense	Ben Foster Smith	The English Journal	13	9	1924-11-01T00:00:00Z	pp. 671-673	National Council of Teachers of English	fla			
10.2307/802357	10.2307/802357	Book Notices		The English Journal	14	8	1925-10-01T00:00:00Z	pp. 661-664	National Council of Teachers of English	mis			
10.2307/802145	10.2307/802145	Literature for the Junior High School	W. Wilbur Hatfield	The English Journal	9	4	1920-04-01T00:00:00Z	pp. 241-242	National Council of Teachers of English	brv	Atlantic Prose and Poetry|Charles Swain Thomas;H. G. Paul, Junior High School Literature. Book I|William H. Elson;Christine M. Keck		
10.2307/802827	10.2307/802827	Ethics and Art	Percival Chubb	The English Journal	13	3	1924-03-01T00:00:00Z	pp. 223-224	National Council of Teachers of English	brv	Education for Moral Growth|Henry Neumann		
10.2307/802633	10.2307/802633	Near Giant's Causeway	F. H. Adler	The English Journal	13	2	1924-02-01T00:00:00Z	p. 136	National Council of Teachers of English	fla			
10.2307/801934	10.2307/801934	Book Notices		The English Journal	12	8	1923-10-01T00:00:00Z	pp. 577-580	National Council of Teachers of English	mis			
10.2307/802598	10.2307/802598	Shall the Blind See?	Marjorie H. Hood	The English Journal	14	6	1925-06-01T00:00:00Z	p. 487	National Council of Teachers of English	fla			
10.2307/802095	10.2307/802095	News and Notes		The English Journal	11	4	1922-04-01T00:00:00Z	pp. 253-257	National Council of Teachers of English	mis			
10.2307/802135	10.2307/802135	Gleanings from the Class in Freshman English	Florence Livingston Joy	The English Journal	9	4	1920-04-01T00:00:00Z	pp. 201-209	National Council of Teachers of English	fla			
10.2307/802724	10.2307/802724	Book Notices		The English Journal	10	10	1921-12-01T00:00:00Z	pp. 601-602	National Council of Teachers of English	mis			
10.2307/802854	10.2307/802854	"Shakespeare and Zane Grey"	Edwin Kehr, Margery J. Barry, Mary Stickney, L. Winifred Terry	The English Journal	11	3	1922-03-01T00:00:00Z	pp. 174-177	National Council of Teachers of English	fla			
10.2307/802097	10.2307/802097	Book Notices		The English Journal	11	4	1922-04-01T00:00:00Z	pp. 259-260	National Council of Teachers of English	mis			
10.2307/802539	10.2307/802539	Three Years of English or Four?	Barbara E. Phillips	The English Journal	11	6	1922-06-01T00:00:00Z	pp. 365-366	National Council of Teachers of English	fla			
10.2307/802876	10.2307/802876	Willa Cather	Percy H. Boynton	The English Journal	13	6	1924-06-01T00:00:00Z	pp. 373-380	National Council of Teachers of English	fla			
10.2307/801982	10.2307/801982	"Jazzing up" Grammar	Jeanette M. Collins	The English Journal	14	3	1925-03-01T00:00:00Z	pp. 235-238	National Council of Teachers of English	fla			
10.2307/802916	10.2307/802916	American Authors of Today: IV. The Voice of Chicago: Edgar Lee Masters and Carl Sandburg	Percy H. Boynton	The English Journal	11	10	1922-12-01T00:00:00Z	pp. 610-620	National Council of Teachers of English	fla			
10.2307/802847	10.2307/802847	Back Matter		The English Journal	10	8	1921-10-01T00:00:00Z		National Council of Teachers of English	mis			
10.2307/802831	10.2307/802831	Back Matter		The English Journal	13	3	1924-03-01T00:00:00Z	p. 232	National Council of Teachers of English	mis			
10.2307/802380	10.2307/802380	A Little Pathfinder	E. D. C.	The English Journal	14	2	1925-02-01T00:00:00Z	p. 168	National Council of Teachers of English	brv	Language in the Making--A Word Study|Wilhelmina Thoma		
10.2307/802630	10.2307/802630	"The Idylls of the King"	Laura Bell Everett	The English Journal	13	2	1924-02-01T00:00:00Z	pp. 131-133	National Council of Teachers of English	fla			
10.2307/802405	10.2307/802405	Oral Work and Democracy	D. Davis Farrington	The English Journal	13	7	1924-09-01T00:00:00Z	pp. 478-482	National Council of Teachers of English	fla			
10.2307/802227	10.2307/802227	A New Type of Text	W. Wilbur Hatfield	The English Journal	14	7	1925-09-01T00:00:00Z	pp. 575-576	National Council of Teachers of English	brv	An Introduction to the Study of Literature|Ralph Philip Boas;Edwin Smith		
10.2307/802636	10.2307/802636	News and Notes	Emily McDonald Carlisle, C. C. Certain	The English Journal	13	2	1924-02-01T00:00:00Z	pp. 143-151	National Council of Teachers of English	mis			
10.2307/802354	10.2307/802354	News and Notes		The English Journal	14	8	1925-10-01T00:00:00Z	pp. 653-657	National Council of Teachers of English	mis			
10.2307/802349	10.2307/802349	The Oxford Recitations	H. A. Domincovich	The English Journal	14	8	1925-10-01T00:00:00Z	pp. 644-645	National Council of Teachers of English	fla			
10.2307/802389	10.2307/802389	Illustrative Material for High-School Literature. II	Jane Anderson Hilson, Katherine E. Wheeling	The English Journal	11	9	1922-11-01T00:00:00Z	pp. 569-576	National Council of Teachers of English	mis			
10.2307/802821	10.2307/802821	The College Student and Literature	C. E. Lauterbach	The English Journal	13	3	1924-03-01T00:00:00Z	pp. 209-210	National Council of Teachers of English	fla			
10.2307/802999	10.2307/802999	A Concrete Answer	W. Wilbur Hatfield	The English Journal	10	5	1921-05-01T00:00:00Z	pp. 300-301	National Council of Teachers of English	brv	Supervised Study in English for Junior High School Grades|Laura A. McGregor		
10.2307/802379	10.2307/802379	News and Notes		The English Journal	14	2	1925-02-01T00:00:00Z	pp. 159-167	National Council of Teachers of English	mis			
10.2307/802407	10.2307/802407	A Lesson Series: The Correlation of Music and Literature	A. Laura McGregor	The English Journal	13	7	1924-09-01T00:00:00Z	pp. 489-493	National Council of Teachers of English	fla			
10.2307/802986	10.2307/802986	The Parent of Schoolboy Novels	Stanley T. Williams	The English Journal	10	5	1921-05-01T00:00:00Z	pp. 241-246	National Council of Teachers of English	fla			
10.2307/802979	10.2307/802979	Plays by St. Louis High Schools	Clarence Stratton	The English Journal	9	9	1920-11-01T00:00:00Z	pp. 536-537	National Council of Teachers of English	fla			
10.2307/802276	10.2307/802276	An English Project Motivated by History	Jenny Lind Green	The English Journal	9	10	1920-12-01T00:00:00Z	pp. 557-569	National Council of Teachers of English	fla			
10.2307/802367	10.2307/802367	Turning the Captives Loose	Charles Harlow Raymond	The English Journal	14	2	1925-02-01T00:00:00Z	pp. 129-134	National Council of Teachers of English	fla			
10.2307/802443	10.2307/802443	Deserted Goldsmith	Martha Hale Shackford	The English Journal	9	2	1920-02-01T00:00:00Z	pp. 103-108	National Council of Teachers of English	fla			
10.2307/801894	10.2307/801894	Modern American Drama: II. The American Spirit in Comedy and Tragedy	Arthur Hobson Quinn	The English Journal	13	1	1924-01-01T00:00:00Z	pp. 1-10	National Council of Teachers of English	fla			
10.2307/802954	10.2307/802954	National Council of Teachers of English: Proceedings of the Tenth Annual Meeting Chicago, November 25-27, 1920		The English Journal	10	1	1921-01-01T00:00:00Z	pp. 39-60	National Council of Teachers of English	mis			
10.2307/802268	10.2307/802268	News and Notes	Clarence Stratton	The English Journal	13	5	1924-05-01T00:00:00Z	pp. 356-360	National Council of Teachers of English	mis			
10.2307/802766	10.2307/802766	Back Matter		The English Journal	11	7	1922-09-01T00:00:00Z	pp. 451-454	National Council of Teachers of English	mis			
10.2307/801883	10.2307/801883	Training for Rapid Reading	Helen Rand	The English Journal	11	5	1922-05-01T00:00:00Z	pp. 297-298	National Council of Teachers of English	fla			
10.2307/802146	10.2307/802146	Book Notices		The English Journal	9	4	1920-04-01T00:00:00Z	pp. 242-243	National Council of Teachers of English	mis			
10.2307/802063	10.2307/802063	The Study Club: Odysseus as a Hero		The English Journal	11	2	1922-02-01T00:00:00Z	pp. 115-117	National Council of Teachers of English	fla			
10.2307/802744	10.2307/802744	Back Matter		The English Journal	13	9	1924-11-01T00:00:00Z		National Council of Teachers of English	mis			
10.2307/802958	10.2307/802958	Backgrounds for a Survey Course	Susannah J. McMurphy	The English Journal	10	2	1921-02-01T00:00:00Z	pp. 68-79	National Council of Teachers of English	fla			
10.2307/802658	10.2307/802658	Oral English as a Means of Socialization	Edith Rodkey	The English Journal	9	8	1920-10-01T00:00:00Z	pp. 440-447	National Council of Teachers of English	fla			
10.2307/802990	10.2307/802990	Five Weeks' Intensive Study of the Drama with High-School Seniors	Margaret M. Skinner	The English Journal	10	5	1921-05-01T00:00:00Z	pp. 268-273	National Council of Teachers of English	fla			
10.2307/802016	10.2307/802016	What Is Good English?	C. C. Fries	The English Journal	14	9	1925-11-01T00:00:00Z	pp. 685-697	National Council of Teachers of English	fla			
10.2307/802329	10.2307/802329	Elko County Historical Society	Etta Jean Craig	The English Journal	14	5	1925-05-01T00:00:00Z	pp. 404-406	National Council of Teachers of English	fla			
10.2307/802950	10.2307/802950	Phrasal Prosody	Ruth Mary Weeks	The English Journal	10	1	1921-01-01T00:00:00Z	pp. 11-19	National Council of Teachers of English	fla			
10.2307/802205	10.2307/802205	Editorial: Settling a Doubt		The English Journal	12	2	1923-02-01T00:00:00Z	p. 138	National Council of Teachers of English	fla			
10.2307/802909	10.2307/802909	News and Notes	Ines Parshall	The English Journal	14	10	1925-12-01T00:00:00Z	pp. 811-818	National Council of Teachers of English	mis			
10.2307/802715	10.2307/802715	A Threefold Experiment in High-School English	R. H. Jordan	The English Journal	10	10	1921-12-01T00:00:00Z	pp. 560-569	National Council of Teachers of English	fla			
10.2307/802840	10.2307/802840	Alphabet of Errors	Elizabeth M. Richardson	The English Journal	10	8	1921-10-01T00:00:00Z	pp. 472-473	National Council of Teachers of English	fla			
10.2307/802359	10.2307/802359	Front Matter		The English Journal	14	2	1925-02-01T00:00:00Z	p. 173	National Council of Teachers of English	mis			
10.2307/802390	10.2307/802390	Thoughts of a Reactionary on Grammar	George E. De Mille	The English Journal	11	9	1922-11-01T00:00:00Z	pp. 577-580	National Council of Teachers of English	fla			
10.2307/802200	10.2307/802200	On Hall Duty	Belle Turnbull	The English Journal	12	2	1923-02-01T00:00:00Z	p. 125	National Council of Teachers of English	fla			
10.2307/802738	10.2307/802738	A Rebel Song		The English Journal	13	9	1924-11-01T00:00:00Z	p. 674	National Council of Teachers of English	fla			
10.2307/802258	10.2307/802258	Listening in to Get Live Subjects for English Composition	Helen E. Mish	The English Journal	13	5	1924-05-01T00:00:00Z	pp. 342-344	National Council of Teachers of English	fla			
10.2307/802027	10.2307/802027	Real Help with Oral English	W. Wilbur Hatfield	The English Journal	14	9	1925-11-01T00:00:00Z	p. 738	National Council of Teachers of English	brv	Spoken English and How to Teach It|Elizabeth Whitemore Baker;Alfred I. Roehm		
10.2307/802056	10.2307/802056	High-School Students and Pronunciation	E. Leigh Mudge	The English Journal	11	2	1922-02-01T00:00:00Z	pp. 104-106	National Council of Teachers of English	fla			
10.2307/801948	10.2307/801948	A Letter	Oliphant Gibbons	The English Journal	11	8	1922-10-01T00:00:00Z	p. 509	National Council of Teachers of English	fla			
10.2307/802371	10.2307/802371	Exalting the Magazine	Reginald Stevens Kimball	The English Journal	14	2	1925-02-01T00:00:00Z	pp. 140-142	National Council of Teachers of English	fla			
10.2307/802303	10.2307/802303	Mixed Bouquet	E. D. C.	The English Journal	13	8	1924-10-01T00:00:00Z	pp. 611-613	National Council of Teachers of English	brv	Many Minds|Carl Van Doren		
10.2307/802872	10.2307/802872	A Sane Philosophy of Speech	J. F. H.	The English Journal	10	3	1921-03-01T00:00:00Z	pp. 176-177	National Council of Teachers of English	brv	The Philosophy of Speech|George Willis		
10.2307/802255	10.2307/802255	Teaching English on the Dalton Plan	Lucile Douglas	The English Journal	13	5	1924-05-01T00:00:00Z	pp. 335-340	National Council of Teachers of English	fla			
10.2307/802668	10.2307/802668	Book Notices		The English Journal	9	8	1920-10-01T00:00:00Z	pp. 489-490	National Council of Teachers of English	mis			
10.2307/802901	10.2307/802901	Pet Schemes in Teaching Freshman English	Grace F. Shepard	The English Journal	14	10	1925-12-01T00:00:00Z	pp. 780-784	National Council of Teachers of English	fla			
10.2307/802345	10.2307/802345	A Short Story in a 10-A Class	Martha S. Seitz	The English Journal	14	8	1925-10-01T00:00:00Z	pp. 626-634	National Council of Teachers of English	fla			
10.2307/802988	10.2307/802988	Theater Production as a Curriculum Activity	Frederick McConnell	The English Journal	10	5	1921-05-01T00:00:00Z	pp. 256-261	National Council of Teachers of English	fla			
10.2307/802912	10.2307/802912	Back Matter		The English Journal	14	10	1925-12-01T00:00:00Z	p. 832	National Council of Teachers of English	mis			
10.2307/802540	10.2307/802540	Model-Making in the Literature Class	Anna Theresa Marble	The English Journal	11	6	1922-06-01T00:00:00Z	pp. 366-368	National Council of Teachers of English	fla			
10.2307/802632	10.2307/802632	The High School	Helen L. Reets	The English Journal	13	2	1924-02-01T00:00:00Z	pp. 135-136	National Council of Teachers of English	fla			
10.2307/802960	10.2307/802960	Criticism--Getting It over	Charles C. Hewitt	The English Journal	10	2	1921-02-01T00:00:00Z	pp. 85-88	National Council of Teachers of English	fla			
10.2307/802383	10.2307/802383	Front Matter		The English Journal	11	9	1922-11-01T00:00:00Z		National Council of Teachers of English	mis			
10.2307/802369	10.2307/802369	A Reply Courteous	Frances M. Perry	The English Journal	14	2	1925-02-01T00:00:00Z	pp. 138-139	National Council of Teachers of English	fla			
10.2307/802287	10.2307/802287	Book Notices		The English Journal	9	10	1920-12-01T00:00:00Z	pp. 607-608	National Council of Teachers of English	mis			
10.2307/802323	10.2307/802323	English in the Junior High School	W. Wilbur Hatfield	The English Journal	14	5	1925-05-01T00:00:00Z	pp. 355-369	National Council of Teachers of English	fla			
10.2307/802740	10.2307/802740	News and Notes		The English Journal	13	9	1924-11-01T00:00:00Z	pp. 677-681	National Council of Teachers of English	mis			
10.2307/802423	10.2307/802423	Language Study in the High School	Wilhelmina M. Thoma	The English Journal	12	6	1923-06-01T00:00:00Z	pp. 404-406	National Council of Teachers of English	fla			
10.2307/802842	10.2307/802842	The "Newsy"	Phil Biddison	The English Journal	10	8	1921-10-01T00:00:00Z	p. 475	National Council of Teachers of English	fla			
10.2307/801990	10.2307/801990	Back Matter		The English Journal	14	3	1925-03-01T00:00:00Z		National Council of Teachers of English	mis			
10.2307/802864	10.2307/802864	A Book within a Book	George B. Masslich	The English Journal	10	3	1921-03-01T00:00:00Z	pp. 119-129	National Council of Teachers of English	fla			
10.2307/802638	10.2307/802638	Morituri te Salutamus	E. D. C.	The English Journal	13	2	1924-02-01T00:00:00Z	p. 154	National Council of Teachers of English	brv	Land and Sea Tales|Rudyard Kipling		
10.2307/802679	10.2307/802679	Book Notices		The English Journal	11	1	1922-01-01T00:00:00Z	pp. 67-68	National Council of Teachers of English	mis			
10.2307/802871	10.2307/802871	News and Notes		The English Journal	10	3	1921-03-01T00:00:00Z	pp. 172-175	National Council of Teachers of English	mis			
10.2307/802787	10.2307/802787	How High-School Seniors Explain Common Errors in Reasoning	R. L. Lyman	The English Journal	12	5	1923-05-01T00:00:00Z	pp. 293-305	National Council of Teachers of English	fla			
10.2307/802519	10.2307/802519	Dramatics in the High School	Mary Virginia Rodigan	The English Journal	10	6	1921-06-01T00:00:00Z	pp. 316-326	National Council of Teachers of English	fla			
10.2307/802533	10.2307/802533	Nature Study in Commercial English I	Hazel V. Paris	The English Journal	11	6	1922-06-01T00:00:00Z	pp. 331-340	National Council of Teachers of English	fla			
10.2307/802199	10.2307/802199	American Authors of Today: VI. Booth Tarkington	Percy H. Boynton	The English Journal	12	2	1923-02-01T00:00:00Z	pp. 117-125	National Council of Teachers of English	fla			
10.2307/802531	10.2307/802531	Front Matter		The English Journal	11	6	1922-06-01T00:00:00Z		National Council of Teachers of English	mis			
10.2307/802042	10.2307/802042	Polonius' Advice to Laertes: A Schoolboy's Version	Randall Stratton	The English Journal	12	9	1923-11-01T00:00:00Z	p. 632	National Council of Teachers of English	fla			
10.2307/802350	10.2307/802350	Can We Defend the High-School Newspaper?	Ruth Bartlett	The English Journal	14	8	1925-10-01T00:00:00Z	pp. 645-648	National Council of Teachers of English	fla			
10.2307/801904	10.2307/801904	News and Notes	Alice Dillon	The English Journal	13	1	1924-01-01T00:00:00Z	pp. 75-83	National Council of Teachers of English	mis			
10.2307/802311	10.2307/802311	A Literary Laboratory Period	Alexander Goldstein	The English Journal	10	7	1921-09-01T00:00:00Z	pp. 397-399	National Council of Teachers of English	fla			
